,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d000193,0.142296527,-0.628730935,5.985321974,-0.105045466,0.916339732,NA
Zm00001d000194,0.681251852,-0.310065507,2.139644343,-0.144914508,0.884778372,NA
Zm00001d000195,0.332296944,0,5.209003438,0,1,NA
Zm00001d000196,1.13373916,-1.220527306,2.059218604,-0.592713811,0.553372697,NA
Zm00001d000197,239.0111549,-0.574281116,0.236300411,-2.430300959,0.01508629,0.073828656
Zm00001d000199,123.416779,-0.148238617,0.166752736,-0.888972623,0.374017793,0.626290019
Zm00001d000202,0.155866738,-1.566945698,5.940335575,-0.26378067,0.79194893,NA
Zm00001d000203,3.004718999,0.303613706,1.472837753,0.206141991,0.836679999,0.934764769
Zm00001d000204,110.6018295,1.481552122,0.299185583,4.951950256,7.35E-07,1.95E-05
Zm00001d000205,16.63340372,0.250817893,0.416583722,0.602082798,0.547119024,0.766930934
Zm00001d000213,2.889472989,0.97675687,0.87603482,1.11497494,0.264861161,0.515214805
Zm00001d000214,1.533437927,0.70387394,2.007542316,0.350614746,0.725877392,NA
Zm00001d000220,5.106842354,0.417261998,0.723691197,0.576574649,0.564226828,0.778689204
Zm00001d000221,0.468255127,-1.386166547,2.433022682,-0.56973022,0.56886069,NA
Zm00001d000222,1426.283499,1.095463436,0.420294949,2.606415893,0.009149529,0.050981877
Zm00001d000223,41.59154799,0.114746782,0.240189364,0.477734649,0.63283908,0.824546311
Zm00001d000224,23.91956311,1.250668938,0.521710112,2.397248797,0.016518703,0.07876397
Zm00001d000226,6.888808095,0.047726835,0.573737761,0.0831858,0.933703804,0.976999385
Zm00001d000227,374.3518855,-0.144496846,0.136664124,-1.057313672,0.290368455,0.544038351
Zm00001d000228,25.33776343,-0.488179803,0.387864361,-1.258635369,0.208162066,0.446168968
Zm00001d000229,18.44671028,0.130752672,0.697494319,0.187460555,0.851299548,0.941294118
Zm00001d000230,315.5700666,0.108740698,0.124706444,0.871973373,0.383222904,0.634619852
Zm00001d000236,0.478389917,0.202129538,3.066175186,0.065922371,0.94743963,NA
Zm00001d000237,13.80135639,-0.138558038,0.513300348,-0.269935601,0.787209798,0.909078065
Zm00001d000238,1.268082174,-0.874036022,1.87079608,-0.46720005,0.640356758,NA
Zm00001d000240,94.87754761,-0.009604624,0.16480082,-0.058280198,0.95352544,0.984009781
Zm00001d000241,10.04364781,0.373413709,0.551130028,0.677541941,0.498062169,0.730403553
Zm00001d000242,0.275273834,-0.28502405,5.187261459,-0.054946922,0.95618075,NA
Zm00001d000247,56.724376,-0.299401988,0.220215054,-1.359589101,0.173959989,0.398886469
Zm00001d000255,0.098817891,1.791134784,5.990433208,0.298999208,0.76494065,NA
Zm00001d000257,82.53144939,-0.196909919,0.161112634,-1.222187942,0.221636563,0.463656391
Zm00001d000260,30.6076432,1.350734843,0.397666899,3.39664892,0.000682164,0.006742357
Zm00001d000270,24.73796935,2.141187313,0.439921529,4.86720283,1.13E-06,2.86E-05
Zm00001d000288,10.44711873,-0.166641343,0.4558937,-0.365526751,0.714718242,0.870448359
Zm00001d000291,4.350929922,0.18063279,0.680139277,0.26558206,0.790561104,0.911145472
Zm00001d000293,9.430461562,0.311995213,0.500548446,0.623306726,0.533082979,0.756372328
Zm00001d000294,3894.54642,1.347199501,0.490856143,2.7445913,0.00605863,0.037318313
Zm00001d000295,156.4135981,0.010842201,0.176276594,0.061506751,0.950955638,0.983425125
