,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d000305,74.31695513,0.282830607,0.377697732,0.748827918,0.45396093,0.713437975
Zm00001d000307,67.40663282,-0.176234225,0.204111124,-0.863422929,0.387904977,0.656090268
Zm00001d000308,46.70789986,-0.082775785,0.37284732,-0.22200987,0.8243062,0.931539035
Zm00001d000310,321.6422198,0.564919931,0.170636433,3.310664216,0.000930748,0.01347579
Zm00001d000311,11.96236125,-0.691553836,0.443745061,-1.558448527,0.119126961,0.347450762
Zm00001d000312,29.89394712,0.400721021,0.320536198,1.250158403,0.211241689,0.480785566
Zm00001d000313,79.11658702,0.154866404,0.230901832,0.670702359,0.502410159,0.745824624
Zm00001d000314,14.10373771,-0.170114863,0.527412804,-0.322545949,0.747039134,0.89357756
Zm00001d000316,34715.03117,0.341208207,0.161510958,2.112600967,0.034634936,0.163282456
Zm00001d000320,1.415949271,0,2.096299251,0,1,NA
Zm00001d000328,35.37690292,0.15029598,0.321180313,0.46794892,0.639821119,0.836799103
Zm00001d000329,10.50735143,-0.058034909,0.482450509,-0.120291942,0.904251887,0.965678917
Zm00001d000339,96.70739781,-0.59465487,0.387076039,-1.53627404,0.124471184,0.35709498
Zm00001d000345,56.82102101,0.373675649,0.304063381,1.228939995,0.219094305,0.492008127
